state_ut,district_name,intervention,rank,ev_score,expected_access_gain,est_cost_tier,confidence,p_addresses_need,p_wrong,benefit,trigger_signals,rationale,not_recommended_flag,not_recommended_reason
Odisha,Rayagada,OB referral network + prenatal telehealth & transport,4,-0.0821,14.6,Medium-High,Low,0.481,0.63,0.706,"institutional_birth_5y_pct=69% | anaemia_w15_49_pct=69% | maternity_signal_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), wide supply CI (21-100%)","Maternal-care gap: institutional births are low and anaemia burden high, while observed maternity supply signal is thin. The telehealth leg is a PROXY for prenatal monitoring (broadband not in dataset) — pair with transport.",False,
Odisha,Rayagada,Community health worker outreach,5,-0.1598,4.9,Medium,Low,0.3,0.63,0.382,"needs_human_review_rate=0% | contact_evidence_rate=100% | source_url_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), wide supply CI (21-100%)",Records are weak and supply is uncertain (high review burden / thin contact evidence). Community health workers can both deliver outreach and ground-truth what actually exists.,False,
Odisha,Rayagada,Mobile primary care clinic,6,-0.4229,5.7,High,Low,0.35,0.63,0.382,"planning_category=referral_or_capacity_candidate | trustworthy_supply_rate=100% | capacity_observed_rate=100% | observed_capacity_median=200 | fragility: district uncertainty: higher, small observed sample (1 rows), wide supply CI (21-100%)","Genuine unmet need with little trustworthy, observed supply — physical capacity, not just data, appears to be missing.",False,
Odisha,Rayagada,Telehealth-first program,7,-0.2384,2.6,Low,Low,0.18,0.78,0.382,"trustworthy_supply_rate=100% | broadband_coverage=NOT IN DATASET (cannot confirm telehealth viability) | elderly_share=NOT IN DATASET (only population_below_age_15_years_pct exists) | fragility: district uncertainty: higher, small observed sample (1 rows), wide supply CI (21-100%)","Telehealth-first is a LOW-confidence default: the dataset has no broadband or elderly-share columns, so the doc's penalty for low-broadband/elderly areas cannot be evaluated. Prefer mobile care or CHW outreach unless connectivity is separately confirmed.",True,"Not recommended: viability signals (broadband, elderly share) are absent from the dataset and local evidence is weak — do not lead with telehealth."
Bihar,Katihar,PM-JAY / insurance enrollment support,1,0.7629,41.3,Low,Low,0.754,0.63,1.281,"hh_health_insurance_pct=8% | planning_category=real_desert_candidate | fragility: district uncertainty: higher, small observed sample (2 rows), wide supply CI (9-91%)","Affordability gap: household insurance coverage is low. Where trustworthy capacity already exists, PM-JAY enrollment unlocks care without building new supply.",False,
Bihar,Katihar,Verify-first data / records campaign,2,0.1711,12.0,Low,Low,0.451,0.63,0.623,"planning_category=real_desert_candidate | needs_human_review_rate=50% | critical_supply_gap_rate=50% | fragility: district uncertainty: higher, small observed sample (2 rows), wide supply CI (9-91%)",Apparent gap may be a data artifact: facilities likely exist but records are broken or unverified. Run a verify-first campaign before committing capital.,False,
Bihar,Katihar,Mobile primary care clinic,3,0.1066,28.4,High,Low,0.75,0.63,0.884,"planning_category=real_desert_candidate | trustworthy_supply_rate=50% | capacity_observed_rate=50% | observed_capacity_median=590 | fragility: district uncertainty: higher, small observed sample (2 rows), wide supply CI (9-91%)","Genuine unmet need with little trustworthy, observed supply — physical capacity, not just data, appears to be missing.",False,
Bihar,Katihar,Community health worker outreach,4,-0.0079,11.4,Medium,Low,0.412,0.63,0.646,"needs_human_review_rate=50% | contact_evidence_rate=100% | source_url_rate=100% | fragility: district uncertainty: higher, small observed sample (2 rows), wide supply CI (9-91%)",Records are weak and supply is uncertain (high review burden / thin contact evidence). Community health workers can both deliver outreach and ground-truth what actually exists.,False,
Bihar,Katihar,Pharmacy-based chronic care screening,5,-0.0465,8.5,Low-Medium,Low,0.369,0.63,0.539,"high_bp_pct=17% | high_blood_sugar_pct=17% | ncd_signal_rate=0% | diagnostic_signal_rate=100% | fragility: district uncertainty: higher, small observed sample (2 rows), wide supply CI (9-91%)",Chronic-disease burden (BP / blood sugar) is elevated and the NCD/diagnostic service signal is weak — pharmacy-based screening can find undiagnosed cases close to home.,False,
Bihar,Katihar,OB referral network + prenatal telehealth & transport,6,-0.0526,15.8,Medium-High,Low,0.485,0.63,0.761,"institutional_birth_5y_pct=67% | anaemia_w15_49_pct=68% | maternity_signal_rate=100% | fragility: district uncertainty: higher, small observed sample (2 rows), wide supply CI (9-91%)","Maternal-care gap: institutional births are low and anaemia burden high, while observed maternity supply signal is thin. The telehealth leg is a PROXY for prenatal monitoring (broadband not in dataset) — pair with transport.",False,
Bihar,Katihar,Telehealth-first program,7,-0.0374,10.3,Low,Low,0.305,0.78,0.884,"trustworthy_supply_rate=50% | broadband_coverage=NOT IN DATASET (cannot confirm telehealth viability) | elderly_share=NOT IN DATASET (only population_below_age_15_years_pct exists) | fragility: district uncertainty: higher, small observed sample (2 rows), wide supply CI (9-91%)","Telehealth-first is a LOW-confidence default: the dataset has no broadband or elderly-share columns, so the doc's penalty for low-broadband/elderly areas cannot be evaluated. Prefer mobile care or CHW outreach unless connectivity is separately confirmed.",True,"Not recommended: viability signals (broadband, elderly share) are absent from the dataset and local evidence is weak — do not lead with telehealth."
Bihar,Kishanganj,Verify-first data / records campaign,1,0.8879,36.9,Low,Low,0.8,0.83,1.262,"planning_category=real_desert_candidate | needs_human_review_rate=100% | critical_supply_gap_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (0-79%)",Apparent gap may be a data artifact: facilities likely exist but records are broken or unverified. Run a verify-first campaign before committing capital.,False,
Bihar,Kishanganj,PM-JAY / insurance enrollment support,2,0.6669,32.9,Low,Low,0.755,0.83,1.191,"hh_health_insurance_pct=8% | planning_category=real_desert_candidate | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (0-79%)","Affordability gap: household insurance coverage is low. Where trustworthy capacity already exists, PM-JAY enrollment unlocks care without building new supply.",False,
Bihar,Kishanganj,Mobile primary care clinic,3,0.5702,43.8,High,Low,0.95,0.83,1.262,"planning_category=real_desert_candidate | trustworthy_supply_rate=0% | capacity_observed_rate=0% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (0-79%)","Genuine unmet need with little trustworthy, observed supply — physical capacity, not just data, appears to be missing.",False,
Bihar,Kishanganj,Community health worker outreach,4,0.1262,15.7,Medium,Low,0.525,0.83,0.82,"needs_human_review_rate=100% | contact_evidence_rate=100% | source_url_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (0-79%)",Records are weak and supply is uncertain (high review burden / thin contact evidence). Community health workers can both deliver outreach and ground-truth what actually exists.,False,
Bihar,Kishanganj,OB referral network + prenatal telehealth & transport,5,0.0913,20.7,Medium-High,Low,0.611,0.83,0.928,"institutional_birth_5y_pct=55% | anaemia_w15_49_pct=65% | maternity_signal_rate=0% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (0-79%)","Maternal-care gap: institutional births are low and anaemia burden high, while observed maternity supply signal is thin. The telehealth leg is a PROXY for prenatal monitoring (broadband not in dataset) — pair with transport.",False,
Bihar,Kishanganj,Pharmacy-based chronic care screening,6,0.0349,11.6,Low-Medium,Low,0.468,0.83,0.676,"high_bp_pct=20% | high_blood_sugar_pct=14% | ncd_signal_rate=0% | diagnostic_signal_rate=0% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (0-79%)",Chronic-disease burden (BP / blood sugar) is elevated and the NCD/diagnostic service signal is weak — pharmacy-based screening can find undiagnosed cases close to home.,False,
Bihar,Kishanganj,Telehealth-first program,7,0.1947,17.8,Low,Low,0.43,0.95,1.262,"trustworthy_supply_rate=0% | broadband_coverage=NOT IN DATASET (cannot confirm telehealth viability) | elderly_share=NOT IN DATASET (only population_below_age_15_years_pct exists) | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (0-79%)","Telehealth-first is a LOW-confidence default: the dataset has no broadband or elderly-share columns, so the doc's penalty for low-broadband/elderly areas cannot be evaluated. Prefer mobile care or CHW outreach unless connectivity is separately confirmed.",True,"Not recommended: viability signals (broadband, elderly share) are absent from the dataset and local evidence is weak — do not lead with telehealth."
Odisha,Kalahandi,Verify-first data / records campaign,1,0.8833,36.7,Low,Low,0.8,0.83,1.256,"planning_category=mixed_or_monitor | needs_human_review_rate=100% | critical_supply_gap_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (21-100%)",Apparent gap may be a data artifact: facilities likely exist but records are broken or unverified. Run a verify-first campaign before committing capital.,False,
Odisha,Kalahandi,PM-JAY / insurance enrollment support,2,0.2091,16.1,Low,Low,0.533,0.83,0.829,"hh_health_insurance_pct=49% | planning_category=mixed_or_monitor | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (21-100%)","Affordability gap: household insurance coverage is low. Where trustworthy capacity already exists, PM-JAY enrollment unlocks care without building new supply.",False,
Odisha,Kalahandi,Community health worker outreach,3,0.1242,15.7,Medium,Low,0.525,0.83,0.817,"needs_human_review_rate=100% | contact_evidence_rate=100% | source_url_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (21-100%)",Records are weak and supply is uncertain (high review burden / thin contact evidence). Community health workers can both deliver outreach and ground-truth what actually exists.,False,
Odisha,Kalahandi,Pharmacy-based chronic care screening,4,-0.0862,7.1,Low-Medium,Low,0.379,0.83,0.515,"high_bp_pct=26% | high_blood_sugar_pct=13% | ncd_signal_rate=0% | diagnostic_signal_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (21-100%)",Chronic-disease burden (BP / blood sugar) is elevated and the NCD/diagnostic service signal is weak — pharmacy-based screening can find undiagnosed cases close to home.,False,
Odisha,Kalahandi,OB referral network + prenatal telehealth & transport,5,-0.0884,14.2,Medium-High,Low,0.514,0.83,0.754,"institutional_birth_5y_pct=93% | anaemia_w15_49_pct=64% | maternity_signal_rate=0% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (21-100%)","Maternal-care gap: institutional births are low and anaemia burden high, while observed maternity supply signal is thin. The telehealth leg is a PROXY for prenatal monitoring (broadband not in dataset) — pair with transport.",False,
Odisha,Kalahandi,Mobile primary care clinic,6,-0.2572,13.6,High,Low,0.51,0.83,0.729,"planning_category=mixed_or_monitor | trustworthy_supply_rate=100% | capacity_observed_rate=0% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (21-100%)","Genuine unmet need with little trustworthy, observed supply — physical capacity, not just data, appears to be missing.",False,
Odisha,Kalahandi,Telehealth-first program,7,-0.2802,2.2,Low,Low,0.18,0.95,0.377,"trustworthy_supply_rate=100% | broadband_coverage=NOT IN DATASET (cannot confirm telehealth viability) | elderly_share=NOT IN DATASET (only population_below_age_15_years_pct exists) | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (21-100%)","Telehealth-first is a LOW-confidence default: the dataset has no broadband or elderly-share columns, so the doc's penalty for low-broadband/elderly areas cannot be evaluated. Prefer mobile care or CHW outreach unless connectivity is separately confirmed.",True,"Not recommended: viability signals (broadband, elderly share) are absent from the dataset and local evidence is weak — do not lead with telehealth."
Assam,Hailakandi,Mobile primary care clinic,1,0.6349,51.0,High,Low,0.95,0.63,1.254,"planning_category=real_desert_candidate | trustworthy_supply_rate=0% | capacity_observed_rate=0% | fragility: district uncertainty: higher, small observed sample (1 rows), wide supply CI (0-79%)","Genuine unmet need with little trustworthy, observed supply — physical capacity, not just data, appears to be missing.",False,
Assam,Hailakandi,PM-JAY / insurance enrollment support,2,0.1935,17.0,Low,Low,0.505,0.63,0.784,"hh_health_insurance_pct=54% | planning_category=real_desert_candidate | fragility: district uncertainty: higher, small observed sample (1 rows), wide supply CI (0-79%)","Affordability gap: household insurance coverage is low. Where trustworthy capacity already exists, PM-JAY enrollment unlocks care without building new supply.",False,
Assam,Hailakandi,Community health worker outreach,3,0.0747,15.0,Medium,Low,0.48,0.63,0.728,"needs_human_review_rate=0% | contact_evidence_rate=0% | source_url_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), wide supply CI (0-79%)",Records are weak and supply is uncertain (high review burden / thin contact evidence). Community health workers can both deliver outreach and ground-truth what actually exists.,False,
Assam,Hailakandi,Verify-first data / records campaign,4,0.0219,5.6,Low,Low,0.35,0.63,0.376,"planning_category=real_desert_candidate | needs_human_review_rate=0% | critical_supply_gap_rate=0% | fragility: district uncertainty: higher, small observed sample (1 rows), wide supply CI (0-79%)",Apparent gap may be a data artifact: facilities likely exist but records are broken or unverified. Run a verify-first campaign before committing capital.,False,
Assam,Hailakandi,Pharmacy-based chronic care screening,5,-0.0498,8.4,Low-Medium,Low,0.379,0.63,0.516,"high_bp_pct=23% | high_blood_sugar_pct=17% | ncd_signal_rate=100% | diagnostic_signal_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), wide supply CI (0-79%)",Chronic-disease burden (BP / blood sugar) is elevated and the NCD/diagnostic service signal is weak — pharmacy-based screening can find undiagnosed cases close to home.,False,
Assam,Hailakandi,OB referral network + prenatal telehealth & transport,6,-0.1558,11.4,Medium-High,Low,0.435,0.63,0.613,"institutional_birth_5y_pct=83% | anaemia_w15_49_pct=61% | maternity_signal_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), wide supply CI (0-79%)","Maternal-care gap: institutional births are low and anaemia burden high, while observed maternity supply signal is thin. The telehealth leg is a PROXY for prenatal monitoring (broadband not in dataset) — pair with transport.",False,
Assam,Hailakandi,Telehealth-first program,7,0.2322,20.6,Low,Low,0.43,0.78,1.254,"trustworthy_supply_rate=0% | broadband_coverage=NOT IN DATASET (cannot confirm telehealth viability) | elderly_share=NOT IN DATASET (only population_below_age_15_years_pct exists) | fragility: district uncertainty: higher, small observed sample (1 rows), wide supply CI (0-79%)","Telehealth-first is a LOW-confidence default: the dataset has no broadband or elderly-share columns, so the doc's penalty for low-broadband/elderly areas cannot be evaluated. Prefer mobile care or CHW outreach unless connectivity is separately confirmed.",True,"Not recommended: viability signals (broadband, elderly share) are absent from the dataset and local evidence is weak — do not lead with telehealth."
Bihar,Siwan,Verify-first data / records campaign,1,0.8722,36.3,Low,Low,0.8,0.83,1.242,"planning_category=real_desert_candidate | needs_human_review_rate=100% | critical_supply_gap_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (0-79%)",Apparent gap may be a data artifact: facilities likely exist but records are broken or unverified. Run a verify-first campaign before committing capital.,False,
Bihar,Siwan,PM-JAY / insurance enrollment support,2,0.6516,32.3,Low,Low,0.755,0.83,1.171,"hh_health_insurance_pct=8% | planning_category=real_desert_candidate | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (0-79%)","Affordability gap: household insurance coverage is low. Where trustworthy capacity already exists, PM-JAY enrollment unlocks care without building new supply.",False,
Bihar,Siwan,Community health worker outreach,3,0.1195,15.5,Medium,Low,0.525,0.83,0.808,"needs_human_review_rate=100% | contact_evidence_rate=100% | source_url_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (0-79%)",Records are weak and supply is uncertain (high review burden / thin contact evidence). Community health workers can both deliver outreach and ground-truth what actually exists.,False,
Bihar,Siwan,Mobile primary care clinic,4,0.0779,25.8,High,Low,0.79,0.83,0.895,"planning_category=real_desert_candidate | trustworthy_supply_rate=0% | capacity_observed_rate=100% | observed_capacity_median=50 | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (0-79%)","Genuine unmet need with little trustworthy, observed supply — physical capacity, not just data, appears to be missing.",False,
Bihar,Siwan,Pharmacy-based chronic care screening,5,-0.094,6.9,Low-Medium,Low,0.374,0.83,0.501,"high_bp_pct=25% | high_blood_sugar_pct=12% | ncd_signal_rate=0% | diagnostic_signal_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (0-79%)",Chronic-disease burden (BP / blood sugar) is elevated and the NCD/diagnostic service signal is weak — pharmacy-based screening can find undiagnosed cases close to home.,False,
Bihar,Siwan,OB referral network + prenatal telehealth & transport,6,-0.2401,8.6,Medium-High,Low,0.414,0.83,0.57,"institutional_birth_5y_pct=86% | anaemia_w15_49_pct=53% | maternity_signal_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (0-79%)","Maternal-care gap: institutional births are low and anaemia burden high, while observed maternity supply signal is thin. The telehealth leg is a PROXY for prenatal monitoring (broadband not in dataset) — pair with transport.",False,
Bihar,Siwan,Telehealth-first program,7,0.1863,17.5,Low,Low,0.43,0.95,1.242,"trustworthy_supply_rate=0% | broadband_coverage=NOT IN DATASET (cannot confirm telehealth viability) | elderly_share=NOT IN DATASET (only population_below_age_15_years_pct exists) | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (0-79%)","Telehealth-first is a LOW-confidence default: the dataset has no broadband or elderly-share columns, so the doc's penalty for low-broadband/elderly areas cannot be evaluated. Prefer mobile care or CHW outreach unless connectivity is separately confirmed.",True,"Not recommended: viability signals (broadband, elderly share) are absent from the dataset and local evidence is weak — do not lead with telehealth."
Jharkhand,Dumka,Verify-first data / records campaign,1,0.8616,36.0,Low,Low,0.8,0.83,1.229,"planning_category=real_desert_candidate | needs_human_review_rate=100% | critical_supply_gap_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (0-79%)",Apparent gap may be a data artifact: facilities likely exist but records are broken or unverified. Run a verify-first campaign before committing capital.,False,
Jharkhand,Dumka,Mobile primary care clinic,2,0.539,42.7,High,Low,0.95,0.83,1.229,"planning_category=real_desert_candidate | trustworthy_supply_rate=0% | capacity_observed_rate=0% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (0-79%)","Genuine unmet need with little trustworthy, observed supply — physical capacity, not just data, appears to be missing.",False,
Jharkhand,Dumka,PM-JAY / insurance enrollment support,3,0.229,16.9,Low,Low,0.55,0.83,0.839,"hh_health_insurance_pct=45% | planning_category=real_desert_candidate | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (0-79%)","Affordability gap: household insurance coverage is low. Where trustworthy capacity already exists, PM-JAY enrollment unlocks care without building new supply.",False,
Jharkhand,Dumka,Community health worker outreach,4,0.115,15.3,Medium,Low,0.525,0.83,0.799,"needs_human_review_rate=100% | contact_evidence_rate=100% | source_url_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (0-79%)",Records are weak and supply is uncertain (high review burden / thin contact evidence). Community health workers can both deliver outreach and ground-truth what actually exists.,False,
Jharkhand,Dumka,OB referral network + prenatal telehealth & transport,5,-0.1048,13.6,Medium-High,Low,0.509,0.83,0.729,"institutional_birth_5y_pct=60% | anaemia_w15_49_pct=73% | maternity_signal_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (0-79%)","Maternal-care gap: institutional births are low and anaemia burden high, while observed maternity supply signal is thin. The telehealth leg is a PROXY for prenatal monitoring (broadband not in dataset) — pair with transport.",False,
Jharkhand,Dumka,Pharmacy-based chronic care screening,6,-0.1138,6.1,Low-Medium,Low,0.358,0.83,0.468,"high_bp_pct=17% | high_blood_sugar_pct=12% | ncd_signal_rate=0% | diagnostic_signal_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (0-79%)",Chronic-disease burden (BP / blood sugar) is elevated and the NCD/diagnostic service signal is weak — pharmacy-based screening can find undiagnosed cases close to home.,False,
Jharkhand,Dumka,Telehealth-first program,7,0.1806,17.3,Low,Low,0.43,0.95,1.229,"trustworthy_supply_rate=0% | broadband_coverage=NOT IN DATASET (cannot confirm telehealth viability) | elderly_share=NOT IN DATASET (only population_below_age_15_years_pct exists) | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (0-79%)","Telehealth-first is a LOW-confidence default: the dataset has no broadband or elderly-share columns, so the doc's penalty for low-broadband/elderly areas cannot be evaluated. Prefer mobile care or CHW outreach unless connectivity is separately confirmed.",True,"Not recommended: viability signals (broadband, elderly share) are absent from the dataset and local evidence is weak — do not lead with telehealth."
Bihar,Madhepura,Verify-first data / records campaign,1,0.8552,35.7,Low,Low,0.8,0.83,1.221,"planning_category=mixed_or_monitor | needs_human_review_rate=100% | critical_supply_gap_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (21-100%)",Apparent gap may be a data artifact: facilities likely exist but records are broken or unverified. Run a verify-first campaign before committing capital.,False,
Bihar,Madhepura,PM-JAY / insurance enrollment support,2,0.62,31.2,Low,Low,0.748,0.83,1.14,"hh_health_insurance_pct=10% | planning_category=mixed_or_monitor | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (21-100%)","Affordability gap: household insurance coverage is low. Where trustworthy capacity already exists, PM-JAY enrollment unlocks care without building new supply.",False,
Bihar,Madhepura,Community health worker outreach,3,0.1123,15.2,Medium,Low,0.525,0.83,0.794,"needs_human_review_rate=100% | contact_evidence_rate=100% | source_url_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (21-100%)",Records are weak and supply is uncertain (high review burden / thin contact evidence). Community health workers can both deliver outreach and ground-truth what actually exists.,False,
Bihar,Madhepura,Pharmacy-based chronic care screening,4,-0.1156,6.1,Low-Medium,Low,0.357,0.83,0.464,"high_bp_pct=12% | high_blood_sugar_pct=16% | ncd_signal_rate=0% | diagnostic_signal_rate=100% | fragility: district uncertainty: higher, small observed sample (1 rows), high needs-review rate (100%), high critical-supply-gap rate (100%), wide supply CI (21-100%)",Chronic-disease burden (BP / blood sugar) is elevated and the NCD/diagnostic service signal is weak — pharmacy-based screening can find undiagnosed cases close to home.,False,
